OrderID,CustomerID,Gender,Age,Product,Category,Quantity,Price,TotalAmount,PaymentMethod,Region,PurchaseDate
O00001,C0435,Female,59.0,T-shirt,Fashion,1,369.82,369.82,MobileMoney,East,2025-03-30
O00002,C1337,Female,19.0,Jacket,Fashion,2,232.29,464.58,BankTransfer,North,2025-04-11
O00003,C0619,Male,28.0,Lipstick,Beauty,1,347.79,347.79,Cash,East,2024-07-14
O00004,C0033,Female,58.0,Vacuum Cleaner,Home,5,336.92,1684.6,Card,North,2024-05-24
O00005,C1199,Male,25.0,Smartphone,Electronics,1,85.37,85.37,MobileMoney,South,2025-05-10
O00006,C1156,Male,31.0,Jacket,Fashion,2,37.95,75.9,MobileMoney,East,2025-07-27
O00007,C1001,Female,33.0,Jeans,Fashion,1,289.72,289.72,MobileMoney,North,2025-05-14
O00008,C1239,Female,64.0,Blender,Home,2,249.93,499.86,Cash,East,2024-09-22
O00009,C0934,Female,23.0,Lotion,Beauty,4,274.57,1098.28,Card,North,2024-06-09
O00010,C0121,Female,43.0,Blender,Home,2,384.49,768.98,BankTransfer,South,2023-11-25
O00011,C1418,Female,25.0,Shoes,Fashion,5,309.1,1545.5,MobileMoney,East,2025-06-24
O00012,C0631,Female,23.0,Tablet,Electronics,2,481.25,962.5,BankTransfer,East,2024-05-13
O00013,C0535,Male,18.0,Perfume,Beauty,2,15.94,31.88,Card,West,2023-10-28
O00014,C1161,Male,41.0,T-shirt,Fashion,3,475.16,1425.48,Cash,West,2024-11-08
O00015,C0001,Female,38.0,Laptop,Electronics,5,364.19,1820.95,Card,East,2025-08-08
O00016,C0155,Male,49.0,Shoes,Fashion,1,231.04,231.04,BankTransfer,North,2024-12-25
O00017,C0666,Male,46.0,Fan,Home,5,324.22,1621.1,Card,South,2023-10-26
O00018,C0312,Female,27.0,Perfume,Beauty,3,338.47,1015.41,BankTransfer,West,2024-04-16
O00019,C1443,Male,29.0,Vacuum Cleaner,Home,5,298.93,1494.65,BankTransfer,East,2024-12-22
O00020,C0677,Male,,Lipstick,Beauty,5,8.9,44.5,MobileMoney,East,2024-03-07
O00021,C1148,Female,25.0,Microwave,Home,3,446.82,1340.46,Card,East,2024-09-18
O00022,C1414,Male,18.0,Blender,Home,3,129.32,387.96,Cash,South,2024-08-10
O00023,C0662,Male,31.0,Lotion,Beauty,1,350.64,350.64,BankTransfer,South,2023-12-25
O00024,C0319,Male,58.0,Lotion,Beauty,1,17.69,17.69,MobileMoney,East,2025-01-01
O00025,C0506,Male,36.0,Shoes,Fashion,1,92.26,92.26,Cash,North,2023-10-26
O00026,C1495,Male,53.0,Jeans,Fashion,4,234.13,936.52,MobileMoney,East,2025-07-19
O00027,C0936,Male,33.0,Headphones,Electronics,2,276.89,553.78,MobileMoney,South,2023-12-20
O00028,C0896,Female,35.0,Headphones,Electronics,1,381.02,381.02,Card,South,2025-08-13
O00029,C1014,Male,25.0,Jeans,Fashion,3,463.59,1390.77,BankTransfer,North,2024-08-11
O00030,C0955,Male,24.0,T-shirt,Fashion,3,269.71,809.13,BankTransfer,West,2025-07-24
O00031,C1003,Male,23.0,Headphones,Electronics,2,61.46,122.92,BankTransfer,South,2024-12-25
O00032,C1166,Male,25.0,Lipstick,Beauty,1,395.89,395.89,Cash,North,2025-02-17
O00033,C0420,Female,58.0,Laptop,Electronics,1,289.56,289.56,Cash,East,2024-08-23
O00034,C1456,Female,41.0,Lipstick,Beauty,5,370.18,1850.9,BankTransfer,South,2025-04-02
O00035,C0923,Female,26.0,Shoes,Fashion,1,76.77,76.77,BankTransfer,West,2024-07-13
O00036,C0397,Female,19.0,Tablet,Electronics,2,351.13,702.26,MobileMoney,East,2025-02-17
O00037,C1046,Male,53.0,Lotion,Beauty,4,119.68,478.72,Cash,East,2025-02-21
O00038,C1476,Male,47.0,Jeans,Fashion,1,396.31,396.31,Card,East,2025-05-03
O00039,C0199,Female,34.0,Jeans,Fashion,3,131.38,394.14,Cash,West,2024-04-22
O00040,C0399,Female,26.0,T-shirt,Fashion,5,326.8,1634.0,Card,West,2023-12-30
O00041,C1266,Female,26.0,Makeup Kit,Beauty,4,193.93,775.72,Cash,West,2025-02-02
O00042,C0702,Female,34.0,Headphones,Electronics,1,473.72,473.72,Cash,North,2024-11-20
O00043,C0485,Male,25.0,Jacket,Fashion,5,220.78,1103.9,BankTransfer,East,2024-10-03
O00044,C0423,Male,60.0,Lipstick,Beauty,1,174.14,174.14,BankTransfer,South,2024-08-22
O00045,C0091,Male,30.0,Blender,Home,4,169.11,676.44,Card,East,2024-01-11
O00046,C0237,Male,43.0,Perfume,Beauty,4,331.54,1326.16,Cash,West,2023-12-22
O00047,C1407,Female,33.0,Jeans,Fashion,5,291.73,1458.65,MobileMoney,South,2025-08-29
O00048,C1301,Male,,Tablet,Electronics,5,156.44,782.2,MobileMoney,East,2025-07-22
O00049,C1321,Male,54.0,Jacket,Fashion,4,457.35,1829.4,BankTransfer,East,2025-03-29
O00050,C0314,Female,38.0,Microwave,Home,5,353.0,1765.0,MobileMoney,North,2024-06-29
O00051,C0339,Female,,Headphones,Electronics,5,465.39,2326.95,BankTransfer,South,2023-10-13
O00052,C0829,Male,31.0,Vacuum Cleaner,Home,3,12.97,38.91,BankTransfer,North,2023-12-20
O00053,C0901,Male,,T-shirt,Fashion,2,369.4,738.8,Card,West,2023-11-05
O00054,C0053,Female,34.0,Jeans,Fashion,3,208.89,626.67,MobileMoney,South,2025-09-15
O00055,C1404,Male,25.0,Lipstick,Beauty,2,378.91,757.82,Card,South,2025-05-12
O00056,C0907,Male,56.0,Vacuum Cleaner,Home,3,437.46,1312.38,Card,North,2025-09-08
O00057,C0514,Female,23.0,Jacket,Fashion,1,456.57,456.57,MobileMoney,North,2025-03-29
O00058,C0751,Male,36.0,Headphones,Electronics,5,496.2,2481.0,Cash,West,2025-08-14
O00059,C0630,Male,,Fan,Home,3,32.03,96.09,BankTransfer,West,2024-08-08
O00060,C0873,Female,59.0,Lotion,Beauty,4,76.53,306.12,Card,North,2025-07-10
O00061,C0301,Male,20.0,Blender,Home,1,320.86,320.86,Card,South,2024-07-05
O00062,C0690,Female,57.0,Lipstick,Beauty,4,346.77,1387.08,BankTransfer,East,2024-04-27
O00063,C0397,Female,40.0,Headphones,Electronics,1,112.01,112.01,BankTransfer,East,2024-01-15
O00064,C0285,Female,24.0,Vacuum Cleaner,Home,4,373.4,1493.6,MobileMoney,East,2025-08-17
O00065,C1232,Male,33.0,Lipstick,Beauty,3,70.07,210.21,Card,West,2025-03-14
O00066,C1376,Male,64.0,Fan,Home,2,346.81,693.62,BankTransfer,East,2025-01-04
